457,"TCP(g02,NN)","nonlinear unit tax shock for carbon","cent","NN",
458,"TEX(g01,UU)","extern tax on composite","pct","UU",
459,"TEX(g01,NN)","extern tax on composite","pct","NN",
460,"TEX(g02,UU)","extern tax on composite","pct","UU",
461,"TEX(g02,NN)","extern tax on composite","pct","NN",
462,"TIF(g01,UU)","fta tariff rates","pct","UU",
463,"TIF(g01,NN)","fta tariff rates","pct","NN",
464,"TIF(g02,UU)","fta tariff rates","pct","UU",
465,"TIF(g02,NN)","fta tariff rates","pct","NN",
466,"TIM(g01,UU,UU)","multilateral tariff rates","pct","UU",
467,"TIM(g01,UU,NN)","multilateral tariff rates","pct","UU",
468,"TIM(g01,NN,UU)","multilateral tariff rates","pct","NN",
469,"TIM(g01,NN,NN)","multilateral tariff rates","pct","NN",
470,"TIM(g02,UU,UU)","multilateral tariff rates","pct","UU",
471,"TIM(g02,UU,NN)","multilateral tariff rates","pct","UU",
472,"TIM(g02,NN,UU)","multilateral tariff rates","pct","NN",
473,"TIM(g02,NN,NN)","multilateral tariff rates","pct","NN",
